CustomerID,CustomerName,ContactName,Address,City,PostalCode,Country,Email
1,Alfreds Futterkiste,Maria Anders,Obere Str. 57,Berlin,12209,Germany,john_doe@gmail.com
2,Ana Trujillo Emparedados y helados,Ana Trujillo,Avda. de la Constitución 2222,México D.F.,5021,Mexico,emma_smith@yahoo.com
3,Antonio Moreno Taquería,Antonio Moreno,Mataderos 2312,México D.F.,5023,Mexico,michael_brown@gmail.com
4,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,sarah_jones@yahoo.com
5,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,david_wilson@gmail.com
6,Blauer See Delikatessen,Hanna Moos,Forsterstr. 57,Mannheim,68306,Germany,olivia_davis@yahoo.com
7,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,daniel_moore@gmail.com
8,Bólido Comidas preparadas,Martín Sommer,"C/ Araquil, 67",Madrid,28023,Spain,sophia_taylor@yahoo.com
9,Bon app',Laurence Lebihans,"12, rue des Bouchers",Marseille,13008,France,james_anderson@gmail.com
10,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,isabella_martin@yahoo.com
11,B's Beverages,Victoria Ashworth,Fauntleroy Circus,London,EC2 5NT,UK,robert_white@gmail.com
12,Cactus Comidas para llevar,Patricio Simpson,Cerrito 333,Buenos Aires,1010,Argentina,mia_thomas@yahoo.com
13,Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,México D.F.,5022,Mexico,william_lee@gmail.com
14,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,ava_clark@yahoo.com
15,Comércio Mineiro,Pedro Afonso,"Av. dos Lusíadas, 23",São Paulo,05432-043,Brazil,benjamin_hall@gmail.com
16,Consolidated Holdings,Elizabeth Brown,Berkeley Gardens 12 Brewery,London,WX1 6LT,UK,charlotte_allen@yahoo.com
17,Drachenblut Delikatessend,Sven Ottlieb,Walserweg 21,Aachen,52066,Germany,lucas_scott@gmail.com
18,Du monde entier,Janine Labrune,"67, rue des Cinquante Otages",Nantes,44000,France,amelia_wright@yahoo.com
19,Eastern Connection,Ann Devon,35 King George,London,WX3 6FW,UK,ethan_evans@gmail.com
20,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,ella_green@yahoo.com
