user_id,username,password,role,status
1,admin_user,Admin@123,admin,active
2,danieldeleon,Danieldeleon@123,manager,active
3,carolerickson,Carolerickson@123,manager,active
4,ericgill,Ericgill@123,manager,active
5,wesleyvincent,Wesleyvincent@123,manager,active
6,josephsoto,Josephsoto@123,manager,active
7,debrabowman,Debrabowman@123,manager,active
8,scottdouglas,Scottdouglas@123,manager,active
9,kaitlinvilla,Kaitlinvilla@123,manager,active
10,williammelton,Williammelton@123,manager,active
11,josephmoore,Josephmoore@123,manager,active
12,valerieguerra,Valerieguerra@123,employee,active
13,meghanrivera,Meghanrivera@123,employee,active
14,cheyennehenderson,Cheyennehenderson@123,employee,active
15,bryananderson,Bryananderson@123,employee,active
16,brittanygarcia,Brittanygarcia@123,employee,active
17,duanejones,Duanejones@123,employee,active
18,ashleybrown,Ashleybrown@123,employee,active
19,donaldcaldwell,Donaldcaldwell@123,employee,active
20,madisonadams,Madisonadams@123,employee,active
21,gabrielsims,Gabrielsims@123,employee,active
22,stacydiaz,Stacydiaz@123,employee,active
23,jamesvance,Jamesvance@123,employee,active
24,kevinmata,Kevinmata@123,employee,active
25,erinporter,Erinporter@123,employee,active
26,michaelrodgers,Michaelrodgers@123,employee,active
27,suzannejohnson,Suzannejohnson@123,employee,active
28,amytate,Amytate@123,employee,active
29,michaelpatterson,Michaelpatterson@123,employee,active
30,kimberlylara,Kimberlylara@123,employee,active
31,benjaminmay,Benjaminmay@123,employee,active
32,brianwebb,Brianwebb@123,employee,active
33,jillcastillo,Jillcastillo@123,employee,active
34,brettjuarez,Brettjuarez@123,employee,active
35,rhondawalton,Rhondawalton@123,employee,active
36,kirstenmiranda,Kirstenmiranda@123,employee,active
37,emilyfarrell,Emilyfarrell@123,employee,active
38,michelleflores,Michelleflores@123,employee,active
39,matthewreeves,Matthewreeves@123,employee,active
40,alexanderanderson,Alexanderanderson@123,employee,active
41,lisahowell,Lisahowell@123,employee,active
42,johnreeves,Johnreeves@123,employee,active
43,alisongarcia,Alisongarcia@123,employee,active
44,benjaminrodgers,Benjaminrodgers@123,employee,active
45,brendawright,Brendawright@123,employee,active
46,juliahowell,Juliahowell@123,employee,active
47,jonathanchen,Jonathanchen@123,employee,active
48,prestonwarren,Prestonwarren@123,employee,active
49,kellievans,Kellievans@123,employee,active
50,timothyclark,Timothyclark@123,employee,active
