user_id,username,password,role,status
1,admin,admin,admin,active
11,employee1,12345,employee,active
12,employee2,12345,employee,active
13,manager,12345,manager,active
14,employee3,12345,unassigned,inactive
15,employeenew,12345,employee,active
16,yashada,12345,employee,active
17,dinesh,Dinesh@123,employee,active
18,aditya,Aditya@2801,unassigned,inactive
19,newemployee,Aditya@2801#R,manager,active
20,newemployee1,Aditya@2801#R,unassigned,inactive
21,employeenew2,Aditya@2801#R,unassigned,inactive
22,newemployee3,Aditya@2801#R,employee,active
23,test,Aditya@2801#R,employee,active
24,employeetest,Aditya@2801#R,unassigned,inactive
25,adityanew,Aditya@2801#R,unassigned,inactive
26,employeetestnew,Aditya@2801#R,employee,active
27,testmanager,Manager@123,manager,active
28,testemployee,Employee@123,employee,active
29,aditya@itp.com,Aditya@123,unassigned,inactive
